5273,63,48,2,"2015-02-09 18:39:11.076338","2015-02-09 18:39:11.076338"
5274,64,54,1,"2015-02-09 18:39:11.571349","2015-02-09 18:39:11.571349"
5275,64,55,2,"2015-02-09 18:39:11.725352","2015-02-09 18:39:11.725352"
5276,65,48,1,"2015-02-09 18:39:12.150362","2015-02-09 18:39:12.150362"
5277,65,49,2,"2015-02-09 18:39:12.307365","2015-02-09 18:39:12.307365"
5278,66,48,1,"2015-02-09 18:39:12.464369","2015-02-09 18:39:12.464369"
5279,66,56,2,"2015-02-09 18:39:12.622372","2015-02-09 18:39:12.622372"
5280,67,51,0,"2015-02-09 18:39:12.768375","2015-02-09 18:39:12.768375"
5281,69,57,1,"2015-02-09 18:39:12.993381","2015-02-09 18:39:12.993381"
5282,69,7,2,"2015-02-09 18:39:13.118383","2015-02-09 18:39:13.118383"
5283,70,57,1,"2015-02-09 18:39:13.482391","2015-02-09 18:39:13.482391"
5284,70,58,2,"2015-02-09 18:39:13.621395","2015-02-09 18:39:13.621395"
5285,71,59,1,"2015-02-09 18:39:13.946402","2015-02-09 18:39:13.946402"
5286,71,60,2,"2015-02-09 18:39:14.224408","2015-02-09 18:39:14.224408"
5287,72,61,1,"2015-02-09 18:39:14.385412","2015-02-09 18:39:14.385412"
5288,72,60,2,"2015-02-09 18:39:14.525415","2015-02-09 18:39:14.525415"
5289,73,50,1,"2015-02-09 18:39:14.682418","2015-02-09 18:39:14.682418"
5290,73,62,2,"2015-02-09 18:39:14.866422","2015-02-09 18:39:14.866422"
5291,74,59,0,"2015-02-09 18:39:15.021426","2015-02-09 18:39:15.021426"
5292,75,63,1,"2015-02-09 18:39:15.215430","2015-02-09 18:39:15.215430"
5293,75,64,2,"2015-02-09 18:39:15.350433","2015-02-09 18:39:15.350433"
5294,76,65,1,"2015-02-09 18:39:15.499436","2015-02-09 18:39:15.499436"
5295,76,66,2,"2015-02-09 18:39:15.658440","2015-02-09 18:39:15.658440"
5296,77,67,0,"2015-02-09 18:39:15.806443","2015-02-09 18:39:15.806443"
5297,78,68,1,"2015-02-09 18:39:15.978447","2015-02-09 18:39:15.978447"
5298,78,69,2,"2015-02-09 18:39:16.176451","2015-02-09 18:39:16.176451"
5299,79,70,1,"2015-02-09 18:39:16.357456","2015-02-09 18:39:16.357456"
5300,79,69,2,"2015-02-09 18:39:16.529459","2015-02-09 18:39:16.529459"
5301,80,70,1,"2015-02-09 18:39:16.707463","2015-02-09 18:39:16.707463"
5302,80,69,2,"2015-02-09 18:39:16.880467","2015-02-09 18:39:16.880467"
5303,81,68,1,"2015-02-09 18:39:17.360478","2015-02-09 18:39:17.360478"
5304,81,69,2,"2015-02-09 18:39:17.485481","2015-02-09 18:39:17.485481"
5305,82,71,1,"2015-02-09 18:39:17.768487","2015-02-09 18:39:17.768487"
5306,82,72,2,"2015-02-09 18:39:17.926491","2015-02-09 18:39:17.926491"
5307,83,73,1,"2015-02-09 18:39:18.230497","2015-02-09 18:39:18.230497"
5308,83,72,2,"2015-02-09 18:39:18.387501","2015-02-09 18:39:18.387501"
5309,84,74,0,"2015-02-09 18:39:18.774509","2015-02-09 18:39:18.774509"
5310,85,75,0,"2015-02-09 18:39:19.122517","2015-02-09 18:39:19.122517"
5311,87,53,1,"2015-02-09 18:39:19.291521","2015-02-09 18:39:19.291521"
5312,87,2,2,"2015-02-09 18:39:19.466525","2015-02-09 18:39:19.466525"
5313,88,76,1,"2015-02-09 18:39:19.612528","2015-02-09 18:39:19.612528"
5314,88,2,2,"2015-02-09 18:39:19.741531","2015-02-09 18:39:19.741531"
5315,89,53,1,"2015-02-09 18:39:20.053538","2015-02-09 18:39:20.053538"
5316,89,2,2,"2015-02-09 18:39:20.172541","2015-02-09 18:39:20.172541"
5317,90,1,1,"2015-02-09 18:39:20.430546","2015-02-09 18:39:20.430546"
5318,90,2,2,"2015-02-09 18:39:20.550549","2015-02-09 18:39:20.550549"
5319,91,2,1,"2015-02-09 18:39:20.802555","2015-02-09 18:39:20.802555"
5320,91,7,2,"2015-02-09 18:39:20.956558","2015-02-09 18:39:20.956558"
5321,92,2,1,"2015-02-09 18:39:21.278565","2015-02-09 18:39:21.278565"
5322,92,77,2,"2015-02-09 18:39:21.386568","2015-02-09 18:39:21.386568"
5323,93,2,1,"2015-02-09 18:39:21.707575","2015-02-09 18:39:21.707575"
5324,93,45,2,"2015-02-09 18:39:21.851578","2015-02-09 18:39:21.851578"
5325,94,2,1,"2015-02-09 18:39:22.142585","2015-02-09 18:39:22.142585"
5326,94,78,2,"2015-02-09 18:39:22.299588","2015-02-09 18:39:22.299588"
5327,95,10,0,"2015-02-09 18:39:22.576594","2015-02-09 18:39:22.576594"
5328,97,79,1,"2015-02-09 18:39:22.766598","2015-02-09 18:39:22.766598"
5329,97,2,2,"2015-02-09 18:39:22.897601","2015-02-09 18:39:22.897601"
5330,98,80,1,"2015-02-09 18:39:23.064605","2015-02-09 18:39:23.064605"
5331,98,2,2,"2015-02-09 18:39:23.292610","2015-02-09 18:39:23.292610"
5332,99,81,1,"2015-02-09 18:39:23.441613","2015-02-09 18:39:23.441613"
5333,99,82,2,"2015-02-09 18:39:23.582617","2015-02-09 18:39:23.582617"
5334,100,80,1,"2015-02-09 18:39:24.010626","2015-02-09 18:39:24.010626"
5335,100,82,2,"2015-02-09 18:39:24.181630","2015-02-09 18:39:24.181630"
5336,101,10,0,"2015-02-09 18:39:24.425635","2015-02-09 18:39:24.425635"
5337,103,53,1,"2015-02-09 18:39:24.633640","2015-02-09 18:39:24.633640"
5338,103,83,2,"2015-02-09 18:39:24.771643","2015-02-09 18:39:24.771643"
5339,104,84,1,"2015-02-09 18:39:24.918646","2015-02-09 18:39:24.918646"
5340,104,83,2,"2015-02-09 18:39:25.046649","2015-02-09 18:39:25.046649"
5341,105,85,1,"2015-02-09 18:39:25.328656","2015-02-09 18:39:25.328656"
5342,105,83,2,"2015-02-09 18:39:25.454658","2015-02-09 18:39:25.454658"
5343,106,83,1,"2015-02-09 18:39:25.608662","2015-02-09 18:39:25.608662"
5344,106,45,2,"2015-02-09 18:39:25.761665","2015-02-09 18:39:25.761665"
5345,107,86,0,"2015-02-09 18:39:25.963670","2015-02-09 18:39:25.963670"
5346,108,87,0,"2015-02-09 18:39:26.139674","2015-02-09 18:39:26.139674"
5347,110,53,1,"2015-02-09 18:39:26.308677","2015-02-09 18:39:26.308677"
5348,110,83,2,"2015-02-09 18:39:26.476681","2015-02-09 18:39:26.476681"
5349,111,88,1,"2015-02-09 18:39:26.632685","2015-02-09 18:39:26.632685"
5350,111,83,2,"2015-02-09 18:39:26.783688","2015-02-09 18:39:26.783688"
5351,112,85,1,"2015-02-09 18:39:27.154696","2015-02-09 18:39:27.154696"
5352,112,83,2,"2015-02-09 18:39:27.291699","2015-02-09 18:39:27.291699"
5353,113,83,1,"2015-02-09 18:39:27.573706","2015-02-09 18:39:27.573706"
5354,113,45,2,"2015-02-09 18:39:27.698708","2015-02-09 18:39:27.698708"
5355,114,86,0,"2015-02-09 18:39:27.843712","2015-02-09 18:39:27.843712"
5356,115,87,0,"2015-02-09 18:39:27.981715","2015-02-09 18:39:27.981715"
5357,117,53,1,"2015-02-09 18:39:28.152719","2015-02-09 18:39:28.152719"
5358,117,89,2,"2015-02-09 18:39:28.357723","2015-02-09 18:39:28.357723"
5359,118,53,1,"2015-02-09 18:39:28.498726","2015-02-09 18:39:28.498726"
5360,118,89,2,"2015-02-09 18:39:28.652730","2015-02-09 18:39:28.652730"
5361,119,90,1,"2015-02-09 18:39:28.949736","2015-02-09 18:39:28.949736"
5362,119,91,2,"2015-02-09 18:39:29.107740","2015-02-09 18:39:29.107740"
5363,120,92,1,"2015-02-09 18:39:29.434747","2015-02-09 18:39:29.434747"
5364,120,29,2,"2015-02-09 18:39:29.570750","2015-02-09 18:39:29.570750"
5365,121,89,1,"2015-02-09 18:39:29.729754","2015-02-09 18:39:29.729754"
5366,121,93,2,"2015-02-09 18:39:29.886757","2015-02-09 18:39:29.886757"
5367,122,94,0,"2015-02-09 18:39:30.208764","2015-02-09 18:39:30.208764"
5368,124,53,1,"2015-02-09 18:39:30.387768","2015-02-09 18:39:30.387768"
5369,124,89,2,"2015-02-09 18:39:30.551772","2015-02-09 18:39:30.551772"
5370,125,53,1,"2015-02-09 18:39:30.727776","2015-02-09 18:39:30.727776"
5371,125,89,2,"2015-02-09 18:39:30.879779","2015-02-09 18:39:30.879779"
5372,126,90,1,"2015-02-09 18:39:31.252788","2015-02-09 18:39:31.252788"
5373,126,91,2,"2015-02-09 18:39:31.393791","2015-02-09 18:39:31.393791"
5374,127,92,1,"2015-02-09 18:39:31.731798","2015-02-09 18:39:31.731798"
5375,127,29,2,"2015-02-09 18:39:31.914802","2015-02-09 18:39:31.914802"
5376,128,89,1,"2015-02-09 18:39:32.077806","2015-02-09 18:39:32.077806"
5377,128,93,2,"2015-02-09 18:39:32.255810","2015-02-09 18:39:32.255810"
5378,129,94,0,"2015-02-09 18:39:32.636819","2015-02-09 18:39:32.636819"
5379,131,42,1,"2015-02-09 18:39:32.826823","2015-02-09 18:39:32.826823"
5380,131,95,2,"2015-02-09 18:39:32.997827","2015-02-09 18:39:32.997827"
5381,132,44,1,"2015-02-09 18:39:33.215831","2015-02-09 18:39:33.215831"
5382,132,95,2,"2015-02-09 18:39:33.408836","2015-02-09 18:39:33.408836"
5383,133,96,1,"2015-02-09 18:39:33.603840","2015-02-09 18:39:33.603840"
5384,133,95,2,"2015-02-09 18:39:33.741843","2015-02-09 18:39:33.741843"
5385,134,96,1,"2015-02-09 18:39:34.133852","2015-02-09 18:39:34.133852"
5386,134,95,2,"2015-02-09 18:39:34.290855","2015-02-09 18:39:34.290855"
5387,135,95,1,"2015-02-09 18:39:34.616863","2015-02-09 18:39:34.616863"
5388,135,97,2,"2015-02-09 18:39:34.752866","2015-02-09 18:39:34.752866"
5389,136,95,1,"2015-02-09 18:39:34.930870","2015-02-09 18:39:34.930870"
5390,136,97,2,"2015-02-09 18:39:35.071873","2015-02-09 18:39:35.071873"
5391,137,42,0,"2015-02-09 18:39:35.451881","2015-02-09 18:39:35.451881"
5392,139,98,1,"2015-02-09 18:39:35.632885","2015-02-09 18:39:35.632885"
5393,139,2,2,"2015-02-09 18:39:35.777889","2015-02-09 18:39:35.777889"
5394,140,2,1,"2015-02-09 18:39:35.932892","2015-02-09 18:39:35.932892"
5395,140,99,2,"2015-02-09 18:39:36.102896","2015-02-09 18:39:36.102896"
5396,141,100,1,"2015-02-09 18:39:36.401903","2015-02-09 18:39:36.401903"
5397,141,78,2,"2015-02-09 18:39:36.535905","2015-02-09 18:39:36.535905"
5398,142,101,0,"2015-02-09 18:39:36.694909","2015-02-09 18:39:36.694909"
5399,143,102,1,"2015-02-09 18:39:36.848912","2015-02-09 18:39:36.848912"
5400,143,103,2,"2015-02-09 18:39:37.007916","2015-02-09 18:39:37.007916"
5401,144,104,1,"2015-02-09 18:39:37.311923","2015-02-09 18:39:37.311923"
5402,144,103,2,"2015-02-09 18:39:37.453926","2015-02-09 18:39:37.453926"
5403,145,103,1,"2015-02-09 18:39:37.788933","2015-02-09 18:39:37.788933"
5404,145,105,2,"2015-02-09 18:39:37.941937","2015-02-09 18:39:37.941937"
5405,146,106,1,"2015-02-09 18:39:38.229943","2015-02-09 18:39:38.229943"
5406,146,103,2,"2015-02-09 18:39:38.362946","2015-02-09 18:39:38.362946"
5407,147,103,0,"2015-02-09 18:39:38.492949","2015-02-09 18:39:38.492949"
5408,149,106,1,"2015-02-09 18:39:38.662953","2015-02-09 18:39:38.662953"
5409,149,107,2,"2015-02-09 18:39:38.793956","2015-02-09 18:39:38.793956"
5410,150,106,1,"2015-02-09 18:39:38.936959","2015-02-09 18:39:38.936959"
5411,150,107,2,"2015-02-09 18:39:39.106963","2015-02-09 18:39:39.106963"
5412,151,107,1,"2015-02-09 18:39:39.624974","2015-02-09 18:39:39.624974"
5413,151,108,2,"2015-02-09 18:39:39.749977","2015-02-09 18:39:39.749977"
5414,152,107,1,"2015-02-09 18:39:39.908981","2015-02-09 18:39:39.908981"
