126,92,6,f,f,,"2015-01-29 02:07:56.967995","2015-01-29 02:07:56.967995"
127,92,7,f,f,,"2015-01-29 02:07:57.088999","2015-01-29 02:07:57.088999"
128,93,8,f,f,,"2015-01-29 02:07:57.985026","2015-01-29 02:07:57.985026"
129,93,9,f,t,,"2015-01-29 02:07:58.252034","2015-01-29 02:07:58.252034"
130,94,8,f,f,,"2015-01-29 02:07:58.538043","2015-01-29 02:07:58.538043"
131,95,8,f,f,,"2015-01-29 02:07:58.858053","2015-01-29 02:07:58.858053"
132,96,8,f,f,,"2015-01-29 02:07:59.177063","2015-01-29 02:07:59.177063"
133,96,9,f,f,,"2015-01-29 02:07:59.324067","2015-01-29 02:07:59.324067"
134,97,8,f,f,,"2015-01-29 02:07:59.627076","2015-01-29 02:07:59.627076"
135,98,8,f,f,,"2015-01-29 02:08:00.024088","2015-01-29 02:08:00.024088"
136,99,8,f,f,,"2015-01-29 02:08:00.343098","2015-01-29 02:08:00.343098"
137,100,8,f,f,,"2015-01-29 02:08:00.650108","2015-01-29 02:08:00.650108"
138,100,9,f,f,,"2015-01-29 02:08:00.788112","2015-01-29 02:08:00.788112"
139,101,8,f,f,,"2015-01-29 02:08:01.069120","2015-01-29 02:08:01.069120"
140,102,8,f,f,,"2015-01-29 02:08:01.388130","2015-01-29 02:08:01.388130"
141,103,8,f,f,,"2015-01-29 02:08:01.663138","2015-01-29 02:08:01.663138"
142,103,9,f,f,,"2015-01-29 02:08:01.801143","2015-01-29 02:08:01.801143"
143,104,8,f,f,,"2015-01-29 02:08:02.137153","2015-01-29 02:08:02.137153"
144,105,8,f,f,,"2015-01-29 02:08:02.412161","2015-01-29 02:08:02.412161"
145,106,8,f,f,,"2015-01-29 02:08:02.686170","2015-01-29 02:08:02.686170"
146,107,8,f,f,,"2015-01-29 02:08:02.972178","2015-01-29 02:08:02.972178"
147,108,8,f,f,,"2015-01-29 02:08:03.282188","2015-01-29 02:08:03.282188"
148,109,8,f,f,,"2015-01-29 02:08:03.579197","2015-01-29 02:08:03.579197"
149,110,8,f,f,,"2015-01-29 02:08:04.467224","2015-01-29 02:08:04.467224"
150,110,9,f,f,,"2015-01-29 02:08:04.617229","2015-01-29 02:08:04.617229"
151,111,8,f,f,,"2015-01-29 02:08:05.046242","2015-01-29 02:08:05.046242"
152,112,10,f,f,,"2015-01-29 02:08:05.789264","2015-01-29 02:08:05.789264"
153,113,10,f,f,,"2015-01-29 02:08:06.217277","2015-01-29 02:08:06.217277"
