26,"上野東京ライン","上野東京ライン","JR上野東京ライン","JR上野東京ライン","","Ueno-Tokyo Line","Ueno-Tokyo Line","JR Ueno-Tokyo Line","JR Ueno-Tokyo Line",5,odpt.Railway:JR-East.UenoTokyo,,#654e99,jr_ueno_tokyo,,,,,"2015-01-29 02:06:25.640210","2015-02-20 10:34:59.077912","2015-03-14 03:00:00.000000",f,,f,
27,"中央線 特急","中央線 特急","JR中央線 特急","JR中央線 特急","","Chuo Line (Limited Express)","Chuo Line (Limited Express)","JR Chuo Line (Limited Express)","JR Chuo Line (Limited Express)",5,odpt.Railway:JR-East.Chuo,,#007ac0,jr_chuo_limited_exp,,,,,"2015-01-29 02:06:25.772214","2015-01-29 02:06:25.772214",,f,,f,
28,"中央線 快速","中央線 快速","JR中央線 快速","JR中央線 快速","","Chuo Line (Rapid service)","Chuo Line (Rapid service)","JR Chuo Line (Rapid service)","JR Chuo Line (Rapid service)",5,odpt.Railway:JR-East.ChuoKaisoku,,#f15a22,jr_chuo_rapid,,,,,"2015-01-29 02:06:25.993221","2015-01-29 02:06:25.993221",,f,,f,
29,"中央・総武線 各駅停車","中央・総武線 各駅停車","JR中央・総武線 各駅停車","JR中央・総武線 各駅停車","","Chuo and Sobu Line (Local service)","Chuo and Sobu Line (Local service)","JR Chuo and Sobu Line (Local service)","JR Chuo and Sobu Line (Local service)",5,odpt.Railway:JR-East.ChuoSobu,,#ffd400,jr_chuo_and_sobu_local,,,,,"2015-01-29 02:06:26.169226","2015-01-29 02:06:26.169226",,f,,f,
30,"中央・総武線 各駅停車（東西線直通 中野 - 三鷹）","中央・総武線 各駅停車（東西線直通 中野 - 三鷹）","JR中央・総武線 各駅停車（東西線直通 中野 - 三鷹）","JR中央・総武線 各駅停車（東西線直通 中野 - 三鷹）","","Chuo and Sobu Line (Local service, between Nakano and Mitaka)","Chuo and Sobu Line (Local service, between Nakano and Mitaka)","JR Chuo and Sobu Line (Local service, between Nakano and Mitaka)","JR Chuo and Sobu Line (Local service, between Nakano and Mitaka)",5,odpt.Railway:JR-East.ChuoTozai,,#00a7db,jr_chuo_and_sobu_local_between_nakano_and_mitaka,,,,,"2015-01-29 02:06:26.301230","2015-01-29 02:06:26.301230",,f,,f,
31,"中央・総武線 各駅停車（東西線直通 西船橋 - 津田沼）","中央・総武線 各駅停車（東西線直通 西船橋 - 津田沼）","JR中央・総武線 各駅停車（東西線直通 西船橋 - 津田沼）","JR中央・総武線 各駅停車（東西線直通 西船橋 - 津田沼）","","Chuo and Sobu Line (Local service, between Nishi-funabashi and Tsudanuma)","Chuo and Sobu Line (Local service, between Nishi-funabashi and Tsudanuma)","JR Chuo and Sobu Line (Local service, between Nishi-funabashi and Tsudanuma)","JR Chuo and Sobu Line (Local service, between Nishi-funabashi and Tsudanuma)",5,odpt.Railway:JR-East.SobuTozai,,#00a7db,jr_chuo_and_sobu_local_between_nishi_funabashi_and_tsudanuma,,,,,"2015-01-29 02:06:26.455235","2015-01-29 02:06:26.455235",,f,,f,
32,"総武快速線","総武快速線","JR総武快速線","JR総武快速線","","Sobu Line (Rapid service)","Sobu Line (Rapid service)","JR Sobu Line (Rapid service)","JR Sobu Line (Rapid service)",5,odpt.Railway:JR-East.Sobu,,#007ac0,jr_sobu_rapid,,,,,"2015-01-29 02:06:26.609239","2015-01-29 02:06:26.609239",,f,,f,
33,"成田エクスプレス","成田エクスプレス","JR成田エクスプレス","JR成田エクスプレス","","Narita Express","Narita Express","JR Narita Express","JR Narita Express",5,odpt.Railway:JR-East.NaritaExpress,,#ff0000,jr_narita_exp,,,,,"2015-01-29 02:06:26.763244","2015-01-29 02:06:26.763244",,f,,f,
34,"埼京線","埼京線","JR埼京線","JR埼京線","","Saikyo Line","Saikyo Line","JR Saikyo Line","JR Saikyo Line",5,odpt.Railway:JR-East.Saikyo,,#00b48d,jr_saikyo,,,,,"2015-01-29 02:06:26.906248","2015-01-29 02:06:26.906248",,f,,f,
35,"常磐線","常磐線","JR常磐線","JR常磐線","","Joban Line","Joban Line","JR Joban Line","JR Joban Line",5,odpt.Railway:JR-East.Joban,,#00b261,jr_joban,,,,,"2015-01-29 02:06:27.060253","2015-01-29 02:06:27.060253",,f,,f,
36,"京葉線","京葉線","JR京葉線","JR京葉線","","Keiyo Line","Keiyo Line","JR Keiyo Line","JR Keiyo Line",5,odpt.Railway:JR-East.Keiyo,,#c9242f,jr_keiyo,,,,,"2015-01-29 02:06:27.192257","2015-01-29 02:06:27.192257",,f,,f,
