117,442,36,,7,"2015-01-29 02:48:41.617555","2015-04-13 20:57:26.268707"
118,450,36,,7,"2015-01-29 02:48:44.272636","2015-04-13 20:57:26.423711"
119,497,8,,7,"2015-01-29 02:49:01.257154","2015-01-29 02:49:01.257154"
120,497,13,,6,"2015-01-29 02:49:01.430159","2015-01-29 02:49:01.430159"
121,498,6,,2,"2015-01-29 02:49:02.861203","2015-01-29 02:49:02.861203"
122,505,8,,7,"2015-01-29 02:49:05.359279","2015-01-29 02:49:05.359279"
123,505,13,,6,"2015-01-29 02:49:05.523284","2015-01-29 02:49:05.523284"
124,506,6,,2,"2015-01-29 02:49:06.570316","2015-01-29 02:49:06.570316"
125,513,8,,7,"2015-01-29 02:49:09.442403","2015-01-29 02:49:09.442403"
126,513,13,,6,"2015-01-29 02:49:09.595408","2015-01-29 02:49:09.595408"
127,515,8,,7,"2015-01-29 02:49:11.115454","2015-01-29 02:49:11.115454"
128,515,13,,6,"2015-01-29 02:49:11.279459","2015-01-29 02:49:11.279459"
129,516,4,,2,"2015-01-29 02:49:12.359492","2015-01-29 02:49:12.359492"
130,523,8,,7,"2015-01-29 02:49:14.417555","2015-01-29 02:49:14.417555"
131,523,13,,6,"2015-01-29 02:49:14.570560","2015-01-29 02:49:14.570560"
132,525,8,,7,"2015-01-29 02:49:15.760596","2015-01-29 02:49:15.760596"
133,525,13,,6,"2015-01-29 02:49:15.957602","2015-01-29 02:49:15.957602"
134,526,4,,2,"2015-01-29 02:49:16.915631","2015-01-29 02:49:16.915631"
135,529,12,37,3,"2015-01-29 02:49:18.228671","2015-01-29 02:49:18.228671"
136,531,12,37,3,"2015-01-29 02:49:19.384707","2015-01-29 02:49:19.384707"
137,534,12,38,3,"2015-01-29 02:49:20.551742","2015-01-29 02:49:20.551742"
138,537,12,37,3,"2015-01-29 02:49:22.268795","2015-01-29 02:49:22.268795"
139,539,12,37,3,"2015-01-29 02:49:23.291826","2015-01-29 02:49:23.291826"
140,542,12,38,3,"2015-01-29 02:49:24.402860","2015-01-29 02:49:24.402860"
141,577,15,,8,"2015-01-29 02:49:38.521290","2015-01-29 02:49:38.521290"
142,578,15,,8,"2015-01-29 02:49:39.125309","2015-01-29 02:49:39.125309"
143,580,15,,8,"2015-01-29 02:49:40.102339","2015-01-29 02:49:40.102339"
144,581,15,,8,"2015-01-29 02:49:40.897363","2015-01-29 02:49:40.897363"
145,582,15,,8,"2015-01-29 02:49:41.689387","2015-01-29 02:49:41.689387"
146,585,15,,8,"2015-01-29 02:49:42.548413","2015-01-29 02:49:42.548413"
147,587,15,,8,"2015-01-29 02:49:43.351438","2015-01-29 02:49:43.351438"
148,590,15,,8,"2015-01-29 02:49:44.474472","2015-01-29 02:49:44.474472"
149,593,15,,8,"2015-01-29 02:49:45.530504","2015-01-29 02:49:45.530504"
150,594,15,,8,"2015-01-29 02:49:46.411531","2015-01-29 02:49:46.411531"
