93,custom.StoppingPattern:Tobu.Tojo.Express,"2015-01-29 02:12:32.688404","2015-01-29 02:12:32.688404"
94,custom.StoppingPattern:Tobu.Tojo.Rapid,"2015-01-29 02:12:32.962413","2015-01-29 02:12:32.962413"
95,custom.StoppingPattern:Tobu.Tojo.RapidExpress,"2015-01-29 02:12:33.281423","2015-01-29 02:12:33.281423"
96,custom.StoppingPattern:Tobu.Tojo.TjLiner,"2015-01-29 02:12:33.700435","2015-01-29 02:12:33.700435"
97,custom.StoppingPattern:Tokyu.Toyoko.Local,"2015-01-29 02:13:05.918418","2015-01-29 02:13:05.918418"
98,custom.StoppingPattern:Tokyu.Toyoko.Express,"2015-01-29 02:13:06.223427","2015-01-29 02:13:06.223427"
99,custom.StoppingPattern:Tokyu.Toyoko.CommuterLimitedExpress,"2015-01-29 02:13:06.520436","2015-01-29 02:13:06.520436"
100,custom.StoppingPattern:Tokyu.Toyoko.LimitedExpress,"2015-01-29 02:13:06.817445","2015-01-29 02:13:06.817445"
101,custom.StoppingPattern:YokohamaMinatomiraiRailway.Minatomirai.Local,"2015-01-29 02:13:20.509863","2015-01-29 02:13:20.509863"
102,custom.StoppingPattern:YokohamaMinatomiraiRailway.Minatomirai.Express,"2015-01-29 02:13:20.784871","2015-01-29 02:13:20.784871"
103,custom.StoppingPattern:YokohamaMinatomiraiRailway.Minatomirai.LimitedExpress,"2015-01-29 02:13:21.059880","2015-01-29 02:13:21.059880"
104,custom.StoppingPattern:Toei.Asakusa.Local,"2015-01-29 02:13:25.062002","2015-01-29 02:13:25.062002"
105,custom.StoppingPattern:Toei.Asakusa.AirportLimitedExpress,"2015-01-29 02:13:28.207098","2015-01-29 02:13:28.207098"
106,custom.StoppingPattern:Toei.Shinjuku.Express,"2015-01-29 02:13:50.538779","2015-01-29 02:13:50.538779"
107,custom.StoppingPattern:Toei.Shinjuku.Local,"2015-01-29 02:13:50.820787","2015-01-29 02:13:50.820787"
108,custom.StoppingPattern:Toei.Oedo.Local,"2015-01-29 02:14:01.835123","2015-01-29 02:14:01.835123"
109,custom.StoppingPattern:Toei.TodenArakawa.Local,"2015-01-29 02:14:19.550664","2015-01-29 02:14:19.550664"
110,custom.StoppingPattern:JR-East.Yamanote.Local,"2015-01-29 02:14:34.671125","2015-01-29 02:14:34.671125"
111,custom.StoppingPattern:JR-East.KeihinTohoku.Local,"2015-01-29 02:14:36.235173","2015-01-29 02:14:36.235173"
112,custom.StoppingPattern:JR-East.KeihinTohoku.Rapid.SaturdaysHolidays,"2015-01-29 02:14:36.799190","2015-01-29 02:14:36.799190"
113,custom.StoppingPattern:JR-East.ChuoKaisoku.Rapid,"2015-01-29 02:14:37.445209","2015-01-29 02:14:37.445209"
114,custom.StoppingPattern:JR-East.ChuoKaisoku.CommuterRapid,"2015-01-29 02:14:37.745219","2015-01-29 02:14:37.745219"
115,custom.StoppingPattern:JR-East.ChuoKaisoku.SpecialRapid,"2015-01-29 02:14:38.142231","2015-01-29 02:14:38.142231"
116,custom.StoppingPattern:JR-East.ChuoKaisoku.OmeSpecialRapid,"2015-01-29 02:14:38.451240","2015-01-29 02:14:38.451240"
117,custom.StoppingPattern:JR-East.ChuoKaisoku.CommuterSpecialRapid,"2015-01-29 02:14:38.770250","2015-01-29 02:14:38.770250"
118,custom.StoppingPattern:JR-East.ChuoSobu.Rapid,"2015-01-29 02:14:39.340267","2015-01-29 02:14:39.340267"
119,custom.StoppingPattern:JR-East.Sobu.Rapid,"2015-01-29 02:14:40.065289","2015-01-29 02:14:40.065289"
