47,odpt.StationFacility:TokyoMetro.Kinshicho,urn:ucode:_00001C000000000000010000030C47E4,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.008618","2015-01-29 02:06:39.008618"
48,odpt.StationFacility:TokyoMetro.KitaAyase,urn:ucode:_00001C000000000000010000030C47C7,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.140622","2015-01-29 02:06:39.140622"
49,odpt.StationFacility:TokyoMetro.KitaSando,urn:ucode:_00001C000000000000010000030C47F6,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.275626","2015-01-29 02:06:39.275626"
50,odpt.StationFacility:TokyoMetro.KitaSenju,urn:ucode:_00001C000000000000010000030C47A6,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.406630","2015-01-29 02:06:39.406630"
51,odpt.StationFacility:TokyoMetro.KiyosumiShirakawa,urn:ucode:_00001C000000000000010000030C47E2,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.515633","2015-01-29 02:06:39.515633"
52,odpt.StationFacility:TokyoMetro.Kodemmacho,urn:ucode:_00001C000000000000010000030C47A0,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.647637","2015-01-29 02:06:39.647637"
53,odpt.StationFacility:TokyoMetro.Kojimachi,urn:ucode:_00001C000000000000010000030C47D5,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.767641","2015-01-29 02:06:39.767641"
54,odpt.StationFacility:TokyoMetro.KokkaiGijidomae,urn:ucode:_00001C000000000000010000030C478A,"2014-11-11 10:06:12.000000","2015-01-29 02:06:39.906645","2015-01-29 02:06:39.906645"
55,odpt.StationFacility:TokyoMetro.Komagome,urn:ucode:_00001C000000000000010000030C47ED,"2014-11-11 10:06:12.000000","2015-01-29 02:06:40.033649","2015-01-29 02:06:40.033649"
56,odpt.StationFacility:TokyoMetro.Korakuen,urn:ucode:_00001C000000000000010000030C4792,"2014-11-11 10:06:12.000000","2015-01-29 02:06:40.142652","2015-01-29 02:06:40.142652"
