123,55,1,6,101,f,f,f,,"2015-01-29 02:15:08.763165","2015-01-29 02:15:08.763165",,f
124,55,2,13,575,f,f,f,,"2015-01-29 02:15:09.000172","2015-01-29 02:15:09.000172",,f
125,55,3,8,131,t,t,f,,"2015-01-29 02:15:09.241179","2015-01-29 02:15:09.241179",,f
126,56,1,1,9,f,f,f,,"2015-01-29 02:15:09.444185","2015-01-29 02:15:09.444185",,f
127,56,2,2,35,f,f,f,,"2015-01-29 02:15:09.673192","2015-01-29 02:15:09.673192",,f
128,57,1,12,558,f,f,f,,"2015-01-29 02:15:09.915200","2015-01-29 02:15:09.915200",,f
129,59,1,36,,f,f,f,,"2015-01-29 02:15:10.219209","2015-01-29 02:15:10.219209",,f
130,60,1,5,80,f,f,f,,"2015-01-29 02:15:10.491217","2015-01-29 02:15:10.491217",,f
131,61,1,12,561,f,f,f,,"2015-01-29 02:15:10.691223","2015-01-29 02:15:10.691223",,f
132,63,1,19,,f,f,f,,"2015-01-29 02:15:10.948231","2015-01-29 02:15:10.948231",,f
133,63,2,20,,f,f,f,,"2015-01-29 02:15:11.213239","2015-01-29 02:15:11.213239",,f
134,63,3,29,,f,f,f,,"2015-01-29 02:15:11.477247","2015-01-29 02:15:11.477247",,f
135,63,4,69,,f,f,f,,"2015-01-29 02:15:11.729255","2015-01-29 02:15:11.729255",,f
136,63,5,14,602,t,f,f,,"2015-01-29 02:15:11.993263","2015-01-29 02:15:11.993263",,f
137,64,1,15,624,t,f,f,,"2015-01-29 02:15:12.460277","2015-01-29 02:15:12.460277",,f
138,64,2,19,686,t,t,f,,"2015-01-29 02:15:12.806288","2015-01-29 02:15:12.806288",,f
139,64,3,20,688,t,f,f,,"2015-01-29 02:15:13.042295","2015-01-29 02:15:13.042295",,f
140,64,4,1,15,t,t,t,10,"2015-01-29 02:15:13.477308","2015-02-20 19:26:39.956282",,f
141,65,2,19,,f,f,f,,"2015-01-29 02:15:13.707315","2015-03-15 08:48:36.575006",,f
142,65,6,24,,f,f,f,,"2015-01-29 02:15:14.042326","2015-03-15 08:49:50.913645",,f
143,65,7,35,,f,f,f,,"2015-01-29 02:15:14.228331","2015-03-15 08:50:02.748065",,f
144,65,5,23,,f,f,f,,"2015-01-29 02:15:14.493339","2015-03-15 08:49:35.054082",,f
145,65,3,20,,f,t,f,,"2015-01-29 02:15:14.780348","2015-03-15 08:56:36.094028",,f
146,65,1,1,16,f,f,f,,"2015-01-29 02:15:15.046356","2015-03-15 08:56:02.129822",,f
147,65,9,67,,f,f,f,,"2015-01-29 02:15:15.340365","2015-03-15 08:50:42.313469",,f
148,65,8,38,,f,t,f,,"2015-01-29 02:15:15.605373","2015-03-15 08:50:19.843672",,f
149,65,4,26,,f,f,f,,"2015-01-29 02:15:15.913383","2015-02-20 10:41:56.602734","2015-03-14 03:00:00.000000",f
150,68,1,35,,f,f,f,,"2015-01-29 02:15:16.200391","2015-01-29 02:15:16.200391",,f
151,68,2,69,,f,f,f,,"2015-01-29 02:15:16.462399","2015-01-29 02:15:16.462399",,f
152,69,1,55,,f,f,f,,"2015-01-29 02:15:16.722407","2015-01-29 02:15:16.722407",,f
153,69,2,6,110,f,t,f,,"2015-01-29 02:15:16.990416","2015-01-29 02:15:16.990416",,f
154,69,3,35,207,f,f,f,,"2015-01-29 02:15:17.191422","2015-01-29 02:15:17.191422",,f
155,69,4,69,,f,t,f,,"2015-01-29 02:15:17.455430","2015-01-29 02:15:17.455430",,f
156,70,1,28,,f,f,f,,"2015-01-29 02:15:17.689437","2015-01-29 02:15:17.689437",,f
157,70,2,29,,f,f,f,,"2015-01-29 02:15:18.003446","2015-01-29 02:15:18.003446",,f
158,72,1,19,,f,f,f,,"2015-01-29 02:15:18.311456","2015-01-29 02:15:18.311456",,f
159,72,2,54,,f,f,f,,"2015-01-29 02:15:18.655466","2015-01-29 02:15:18.655466",,f
160,75,1,29,,f,f,f,,"2015-01-29 02:15:18.975476","2015-01-29 02:15:18.975476",,f
161,75,2,8,126,f,f,f,,"2015-01-29 02:15:19.224484","2015-01-29 02:15:19.224484",,f
162,75,3,10,161,f,f,f,,"2015-01-29 02:15:19.435490","2015-01-29 02:15:19.435490",,f
